,date,quarter,trade_date,holding_period,tickers,portfolio_value,daily_return,cum_return,quarter_return
0,2022-08-16,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9726.58202847322,,-0.027341797152678038,-0.13927237986455898
1,2022-08-17,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9634.191104364458,-0.009498806861269471,-0.03658088956355421,-0.13927237986455898
2,2022-08-18,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9654.834394760177,0.002142711325953117,-0.03451656052398233,-0.13927237986455898
3,2022-08-19,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9493.030692069084,-0.0167588273475624,-0.05069693079309168,-0.13927237986455898
4,2022-08-22,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9280.87211293854,-0.022348877404114065,-0.07191278870614604,-0.13927237986455898
5,2022-08-23,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9282.159948439301,0.00013876233667375892,-0.07178400515606986,-0.13927237986455898
6,2022-08-24,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9317.134093067356,0.003767888597301594,-0.06828659069326437,-0.13927237986455898
7,2022-08-25,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9490.601874755903,0.018618148022321535,-0.05093981252440971,-0.13927237986455898
8,2022-08-26,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9117.280818888094,-0.0393358672921269,-0.08827191811119062,-0.13927237986455898
9,2022-08-29,2022-06-30,2022-08-16,2022-08-16 to 2022-11-15,"['AMZN', 'CNI', 'CRWD', 'FISV', 'KDP', 'MCO', 'MPWR', 'MSFT', 'SPGI', 'TMUS']",9051.026795622769,-0.007266862190760559,-0.09489732043772314,-0.13927237986455898
